Case,Type,Status,Reason,Origin,Subject,Priority,Description,Sub_Type__c,Account,Contact
Case.002,General,Closed,,Email,How do I become a partner?,Low,I'm interested in becoming one of your partners. How do I go about doing this?,Other,Account.001,Contact.004
Case.003,General,Closed,Problem Resolved,Community,What are your central booking support hours?,Medium,Can I call on Saturdays? I work during the week and am not able to call during regular working hours..,Other,Account.006,Contact.012
Case.004,Account,Closed,Mail delivery issue,Twitter,I don't understand my booking invoice?,Medium,I don't understand all the items on the booking invoice. Can you help me understand all the extra taxes?,Order or Invoice,Account.006,Contact.012
Case.006,Account,Closed,Problem Resolved,Phone,I need to pay my invoice.,High,It looks like I accidentally forgot to pay my invoice this month. What's the quickest way to do this?,Order or Invoice,Account.006,Contact.011
Case.007,Account,Closed,New problem,Facebook,Need most recent invoice,Low,I'm afraid I've lost my most recent invoice. Would you mind sending it to me? Thanks!,Order or Invoice,Account.006,Contact.016
Case.008,Account,Closed,,Phone,How do I check my reservation status?,High,"I booked two days ago, and I just want to make sure that the reservation has been confirmed. Thank you!",Order or Invoice,Account.006,Contact.012
Case.009,General,Closed,Problem Resolved,Phone,How is my password stored?,Medium,"I've been hearing a lot about data security recently, and I'd just like to make sure that your company is keeping my personal information safe.",Other,Account.006,Contact.011
Case.010,Technical,Waiting on Customer,,Email,Do you sell add-on trips?,Low,I want to add some local activities onto my trip. Do you offer this?,Other,Account.006,Contact.012
Case.011,Account,Closed,Problem Resolved,Twitter,How do I set up automatic check-in?,Low,"I'd like to set up automatic check-in on my account, but I can't figure out how to do it. Can you help me?",Other,Account.006,Contact.014
Case.014,General,Closed,Feature Request,Community,Room upgrade suggestion,High,I think your rooms would be much better if we were able to use our own devices to connect to the TV.,Suggestion,Account.001,Contact.004
Case.015,Account,Closed,Problem Resolved,Community,Resend my invoice,Medium,I recently stayed at your hotel and I've misplaced my invoice. Can I have it resent to my email address on file please?,Order or Invoice,Account.001,Contact.001
Case.016,Technical,Working,Problem Resolved,Chat,Help with a booking issue?,Medium,I'm trying to change my booking online but it's not letting me change it.  Can someone help me please?,Troubleshooting,Account.006,Contact.012
Case.017,Technical,New,,Mobile Device,I can't understand the directions,Medium,"I've just booked with you, but I'm having trouble understanding the direction instructions. Can you help me? I don't want to get lost!",Setup and Usage,Account.043,Contact.096
Case.018,Account,New,Problem Resolved,Facebook,Early Check-in,Critical,What are my options for checking in early? Can I pay an early fee?,Other,Account.015,Contact.022
Case.019,Account,Working,Problem Resolved,Twitter,How do I change a booking?,Medium,"The dates I booked for quite right, but there's another date range that I think will. Is there a way I can change it?",Order or Invoice,Account.054,Contact.093
Case.020,General,Closed,Problem Resolved,Phone,What are your room service hours?,Medium,I'm landing late in the evening and wanted to ensure I can still order something via room service after I arrive.,Other,Account.001,Contact.001
Case.021,Technical,Working,Problem Resolved,Email,How do I create a secure password?,Medium,I'd like to make sure my password is the strongest possible. What are your password policies?,Setup and Usage,Account.001,Contact.002
Case.022,Account,Attention,Problem Resolved,Mobile Device,I have a question about my booking.,High,I'm not certain that I received all the items in my booking. Can you please have a look for me?,Order or Invoice,Account.033,Contact.080
Case.023,Account,Working,Problem Resolved,Mobile Device,Was our last payment correct?,Low,Our records indicate that we may have underpaid for our last booking. Can you please send a copy of our invoice?,Order or Invoice,Account.010,Contact.005
Case.024,Account,Closed,Problem Resolved,Phone,Items missing from room.,Medium,"We've checked into our room, but there are several items missing. Would you mind having someone bring them up?",Order or Invoice,Account.010,Contact.005
Case.025,Technical,Waiting on Customer,Problem Resolved,Twitter,Can you help me get set up?,Low,"I've just become a customer, and I'd like to set up my travel preferences. Can you please walk me through the steps necessary to do this?",Setup and Usage,Account.031,Contact.033
Case.026,General,New,Problem Resolved,Community,I have a suggestion.,Low,"I've been staying at your hotel for a long time, and I have a suggestion that I think would make them even better. What's the best way to share this with you?",Suggestion,Account.001,Contact.001
Case.027,General,New,Problem Resolved,Mobile Device,How can I request a new service?,Medium,"I have an idea for a new service, and I'd like to share it with you. What's the best way to do that?",Suggestion,Account.043,Contact.096
Case.028,General,New,Problem Resolved,Facebook,Facebook Message from: Larry Baxter,Medium,"I've been a loyal customer for quite some time now, and I'd like to know if there's any program for recognizing and rewarding customers like me?",Suggestion,Paccount.002,
Case.029,General,Closed,Problem Resolved,Facebook,Facebook Message from: Lauren Boyle,Medium,Where I can find out more about the new Cabo San Lucas property you just announced? I'm excited to know more details.,Other,Account.001,Contact.001
Case.030,Account,New,Problem Resolved,Mobile Device,Please send booking confirmation.,High,"I placed a booking last week, but still haven't received a confirmation. Can you please sent it to me?",Order or Invoice,Account.010,Contact.005
Case.031,Account,Closed,Problem Resolved,Email,Where can I book your getaways?,Medium,"I've done my research, and I'm ready to take a trip. Where can I book your getaways?",Other,Paccount.002,
Case.032,General,Working,Problem Resolved,Phone,What's included in your bookings?,Medium,Where can I find out what's covered and what's not?,Other,Paccount.002,
Case.033,Technical,Closed,Problem Resolved,Phone,Can I access your community from my mobile device?,Low,"If I want to participate in your community from the road, can I do it from my mobile device?",Setup and Usage,Account.001,Contact.003
Case.034,Technical,Closed,Problem Resolved,Community,Where do I get your mobile app?,Critical,"I'd like to use your mobile app, but I'm not sure where to get it. Can you point me in the right direction?",Setup and Usage,Account.001,Contact.002
Case.035,Technical,Closed,Problem Resolved,Website,How do I troubleshoot an issue in the entertainment system?,Critical,"I've been having a little trouble with the entertainment system, and I'm wondering if I can get some help figuring it out.",Troubleshooting,Account.008,Contact.049
Case.036,Technical,Working,Problem Resolved,Phone,How do I upgrade?,Critical,"I've been a happy and loyal customer of yours for more than a year, and I'd like to upgrade. What's the best way to do this?",Other,Account.006,Contact.012
Case.037,Account,Warning,Problem Resolved,Community,Early Check-in,Critical,"I've arrived early, can I please check into my room early?",Order or Invoice,Account.006,Contact.001
Case.038,Technical,Working,Problem Resolved,Email,Can I use your app on my phone?,High,"I just got a new mobile phone, and I'm wondering if I can run your mobile app on it.",Troubleshooting,Account.006,Contact.013
Case.039,Account,New,,Phone,I want to make a change to my reservation,High,I've had and emerengy come up and need to change my travel dates. Can you help me?,Order or Invoice,Account.011,Contact.089
Case.040,Account,Working,Feature Request,Website,Customer would like an upgrade,High,"The guest is a longtime, loyal and happy with us and is interested in receiving an upgrade, how can we help and what can we offer?",Other,Account.019,Contact.083
Case.041,Technical,Closed,Problem Resolved,Mobile Device,How do I get started with your personalized travel service?,Critical,"Now that I've signed up, what do I do next?",Setup and Usage,Account.006,Contact.009
Case.042,Technical,Closed,Problem Resolved,Website,I can't get my room to cool down!,High,"I tried to figure it out on my own, but I can't seem to. Can you help me?",Troubleshooting,Account.001,Contact.001
Case.043,Account,Closed,,Phone,How do I change my password?,High,I'd like to change my password to make it more secure. Where do I do this?,Profile,Account.024,Contact.072
Case.044,Account,Escalated,,Website,Expediting my order?,High,"This month, I need my order expedited. Are you able to do this?",Other,Account.009,Contact.038
Case.045,Technical,Closed,Documentation Issue,Email,Entertainment system manual is missing,Medium,I can't find the user manual. Can you please tell me where I can one?,Setup and Usage,Account.031,Contact.033
Case.046,Technical,Closed,,Phone,Customer lost booking confirmation code and needs replacement,High,Customer has misplaced their booking confirmation and would like a new one.,Setup and Usage,Account.036,Contact.030
Case.047,General,Escalated,,Community,Loyalty welcome pack and tags arrived damaged,Low,"When my loyalty welcome pack arrived, the box was damaged, and the tags are quite bent. What's the process to get a new set?",Other,Account.043,Contact.028
Case.048,Technical,Closed,,Twitter,Need additional corporate booking information,Low,I am the new Booking and Travel manager at my company. Can you send me some additional information on how I can get a complete view of all corporate travel?,Setup and Usage,Account.019,Contact.027
Case.049,General,Closed,Problem Resolved,Chat,How do I obtain your annual report?,Low,"I'm researching successful companies, and I'm unable to find your annual report. Can you guide me to the right place?",Other,Account.015,Contact.022
Case.050,General,Escalated,Feature Request,Phone,I have a product suggestion.,Low,"As a user of your products, I have an idea that I think would your products more flexible would show tremendous value.",Suggestion,Account.018,Contact.026
Case.051,General,Escalated,Feature Request,Chat,Initiating cancelation and refund process.,Medium,Customer has encountered family illness and would like to initiate a cancelation and refund for their booking.,Other,Account.012,Contact.025
Case.052,Account,Closed,Problem Resolved,Email,I have a question about my booking.,Critical,Is there any sort of penalty for a late arrival? I can't seem to find anything about it.,Other,Account.013,Contact.024
Case.053,General,Closed,Problem Resolved,Phone,How do I sign up for your email newsletter?,Medium,I'm interested in receiving your email newsletter. How do I sign up for it?,Other,Account.022,Contact.020
Case.054,Account,Working,New problem,Phone,Question about my last bill,High,I can't figure out my balance on my last billing statement. I can't seem to make it match anything. Can you help me figure it out?,Order or Invoice,Account.031,Contact.063
